SystemIndex,Millis,MeanIBI,MaxIBI,MinIBI,MeanNDVI,MaxNDVI,MinNDVI,MeanMNDWI,MaxMNDWI,MinMNDWI,MeanLST,MaxLST,MinLST,Cloud,Timestamp,Year,Month,Day,DOY,Sensor
1_1_LC08_126052_20170120,1484882409440,-0.1313585969009217,0.2346781749248775,-0.4895028758507724,0.4449754028808404,0.8710139989852905,-0.7930306196212769,-0.3101149471268473,0.8743343982960596,-0.6831767719897524,22.597909669060385,31.905536206271336,20.00022811472797,51.540000915527344,2017-01-20 03:20:09.440,2017,1,20,20,LS8
1_2_LE07_126052_20170128,1485573722590,-0.1466741782198776,0.4095849799807992,-0.9880660166600064,0.4231904415152572,0.8801498413085938,-0.6574814319610596,-0.2827796808727177,0.9945355191256828,-0.7628134502666256,29.4030925045448,43.29610982328637,22.255455603362293,1.0,2017-01-28 03:22:02.590,2017,1,28,28,LS7
1_1_LC08_126052_20170205,1486264801870,-0.1744512728353007,0.2732617105072314,-0.875116977350338,0.4367303198466824,0.9022154211997986,-0.6014558672904968,-0.2487845643326326,0.9390088945362136,-0.7032348804500704,29.613892797111077,37.895807301513855,25.775594827002635,16.260000228881836,2017-02-05 03:20:01.870,2017,2,5,36,LS8
1_2_LE07_126052_20170213,1486956117410,-0.1245899984813196,0.4471394791563037,-2.11677301758398,0.4040034594703506,0.8494954109191895,-0.6561775207519531,-0.2923901381276574,0.9976133651551312,-0.781975319641823,32.29493851724669,44.90912951489372,26.85965872008353,0.0,2017-02-13 03:21:57.410,2017,2,13,44,LS7
1_1_LC08_126052_20170221,1487647196050,-0.0841523538868224,0.182957518523051,-0.4015498499589403,0.4246373409497569,0.7879858613014221,0.0814288854598999,-0.3247893387456594,0.1841109709962169,-0.5758598860519097,22.036261205218743,31.192058583115283,20.00002499858164,41.459999084472656,2017-02-21 03:19:56.050,2017,2,21,52,LS8
1_2_LE07_126052_20170301,1488338526350,-0.0918934049635517,0.1963406105013848,-0.5818742290742482,0.3337098811521625,0.745712161064148,-0.6354566812515259,-0.2494735590477247,0.7002801120448179,-0.6084834834834835,25.420897142722023,42.95133997043087,20.00000779966234,18.0,2017-03-01 03:22:06.350,2017,3,1,60,LS7
1_1_LC08_126052_20170309,1489029588700,-0.2535238897924359,0.1909811293826626,-0.3009545361072027,-0.2404916688380107,0.622207760810852,-0.2868020236492157,0.5940508511861863,0.6728167281672817,-0.4357645316549426,26.42307271559233,33.14193407452217,25.97546736973925,38.27000045776367,2017-03-09 03:19:48.700,2017,3,9,68,LS8
1_1_LC08_126052_20170325,1490411978620,-0.1359137522297414,0.2349668134092573,-0.475925462374571,0.467375956768674,0.978769600391388,-0.2299124896526336,-0.3017854050706441,0.5506993006993007,-0.82367758186398,27.405138590851017,43.810100366948745,20.075914401941876,57.060001373291016,2017-03-25 03:19:38.620,2017,3,25,84,LS8
1_1_LC08_126052_20170410,1491794371812,-0.1926207079208052,0.1916210860019694,-0.4153252314323137,0.5799105276551354,0.9523809552192688,-0.4521940052509308,-0.3436932860540185,0.6820572764465225,-0.6271735926908341,23.422480632496317,31.08274874406783,20.000043429709137,40.2599983215332,2017-04-10 03:19:31.812,2017,4,10,100,LS8
1_2_LE07_126052_20170418,1492485743510,-0.1631480275105297,0.6769494033505035,-0.832647915312374,0.4595156651803154,0.8315091133117676,-0.6598888039588928,-0.2636594053957027,0.8721227621483375,-0.8502243397011887,42.51684301818312,64.1363655406654,33.155319838939306,38.0,2017-04-18 03:22:23.510,2017,4,18,108,LS7
1_1_LC08_126052_20170426,1493176761470,-0.1574589552862551,0.2665544423589358,-0.8394717241225972,0.4955165727797553,0.976110816001892,-0.6077738404273987,-0.3074483346772135,0.9142857142857144,-0.8481277821419219,31.54736464130498,43.37011893316469,25.404149615731,13.949999809265137,2017-04-26 03:19:21.470,2017,4,26,116,LS8
1_2_LE07_126052_20170504,1493868148730,-0.1624711199189336,0.4343260674107064,-1.1204674538082442,0.4657280922588155,0.7883036732673645,-0.6605778932571411,-0.2695252129815545,0.7492767598842817,-0.8033452053559352,30.503900965812072,48.990204074257406,21.80224879357496,28.0,2017-05-04 03:22:28.730,2017,5,4,124,LS7
1_1_LC08_126052_20170512,1494559165150,-0.1571193366244882,0.4167265091540985,-0.6156653861902339,0.4964879362671301,0.9904305934906006,-1.0,-0.3037236707335051,0.9902439024390244,-0.962367430721861,26.201055166122213,37.20656333738145,20.04581271314845,31.57999992370605,2017-05-12 03:19:25.150,2017,5,12,132,LS8
1_2_LE07_126052_20170520,1495250551500,-0.1261789884524831,0.1870894370002896,-0.4383231937316605,0.4579266458191677,0.750792920589447,-0.6633399724960327,-0.3415638185789966,0.7213185299939754,-0.5099089448312801,23.28819967384072,31.230936822171884,20.00062554267339,30.0,2017-05-20 03:22:31.500,2017,5,20,140,LS7
1_1_LC08_126052_20170613,1497323983090,-0.1874475839885496,0.1389015903460398,-0.4870656783195536,0.547471995560205,0.8627942204475403,-0.4788924157619476,-0.337937496565784,0.7329268292682927,-0.7461430575035063,27.399574238175056,36.700550265582365,20.000830489936902,56.290000915527344,2017-06-13 03:19:43.090,2017,6,13,164,LS8
1_2_LE07_126052_20170621,1498015359530,-0.1764162598684351,0.6812809460505017,-0.7791184867176267,0.4276886125208015,0.8185234069824219,-0.6623722314834595,-0.2541279820782134,0.8744277305428385,-0.7325767748083337,29.7249688534746,40.791091779569,20.94493965978665,17.0,2017-06-21 03:22:39.530,2017,6,21,172,LS7
